dataset,source_column,proposed_mapping,status
up.csv,plot_type,property_type,heuristic_mapped
up.csv,city,city,heuristic_mapped
up.csv,price,total_price,heuristic_mapped
up.csv,Unit,UNKNOWN,needs_review
up.csv,Rupee_per_area,builtup_area_sqft,heuristic_mapped
up.csv,Area,builtup_area_sqft,heuristic_mapped
up.csv,state,state,heuristic_mapped
real_estate_dataset.csv,url,UNKNOWN,needs_review
real_estate_dataset.csv,beds,UNKNOWN,needs_review
real_estate_dataset.csv,city,city,heuristic_mapped
real_estate_dataset.csv,date,UNKNOWN,needs_review
real_estate_dataset.csv,size,builtup_area_sqft,heuristic_mapped
real_estate_dataset.csv,type,property_type,heuristic_mapped
real_estate_dataset.csv,baths,bathrooms,heuristic_mapped
real_estate_dataset.csv,price,total_price,heuristic_mapped
real_estate_dataset.csv,neighborhood,locality,heuristic_mapped
output_Chandigarh_builderfloor.csv,location,locality,heuristic_mapped
output_Chandigarh_builderfloor.csv,area,builtup_area_sqft,heuristic_mapped
output_Chandigarh_builderfloor.csv,price,total_price,heuristic_mapped
output_Chandigarh_builderfloor.csv,price_currency,total_price,heuristic_mapped
output_Chandigarh_builderfloor.csv,status,property_status,heuristic_mapped
output_Chandigarh_builderfloor.csv,new/resale,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,price_negotiable,total_price,heuristic_mapped
output_Chandigarh_builderfloor.csv,description,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,security_deposit,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,facing,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,furnished,furnished,heuristic_mapped
output_Chandigarh_builderfloor.csv,age of property,property_age,heuristic_mapped
output_Chandigarh_builderfloor.csv,Lift(s),UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Full Power Backup,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,24 X 7 Security,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Children's play area,builtup_area_sqft,heuristic_mapped
output_Chandigarh_builderfloor.csv,Club House,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Gymnasium,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Swimming Pool,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Sports Facility,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Jogging Track,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Landscaped Gardens,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,locality_score,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,project_score,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,builder_experience,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Intercom,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Indoor Games,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,ATM,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Maintenance Staff,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Staff Quarter,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Multipurpose Room,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Car Parking,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Hospital,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,School,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Shopping Mall,pincode,heuristic_mapped
output_Chandigarh_builderfloor.csv,Vaastu Compliant,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Cafeteria,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Rain Water Harvesting,UNKNOWN,needs_review
output_Chandigarh_builderfloor.csv,Golf Course,UNKNOWN,needs_review
output_Chandigarh_plot.csv,location,locality,heuristic_mapped
output_Chandigarh_plot.csv,area,builtup_area_sqft,heuristic_mapped
output_Chandigarh_plot.csv,price,total_price,heuristic_mapped
output_Chandigarh_plot.csv,price_currency,total_price,heuristic_mapped
output_Chandigarh_plot.csv,status,property_status,heuristic_mapped
output_Chandigarh_plot.csv,new/resale,UNKNOWN,needs_review
output_Chandigarh_plot.csv,price_negotiable,total_price,heuristic_mapped
output_Chandigarh_plot.csv,description,UNKNOWN,needs_review
output_Chandigarh_plot.csv,security_deposit,UNKNOWN,needs_review
output_Chandigarh_plot.csv,facing,UNKNOWN,needs_review
output_Chandigarh_plot.csv,furnished,furnished,heuristic_mapped
output_Chandigarh_plot.csv,age of property,property_age,heuristic_mapped
output_Chandigarh_plot.csv,Lift(s),UNKNOWN,needs_review
output_Chandigarh_plot.csv,Full Power Backup,UNKNOWN,needs_review
output_Chandigarh_plot.csv,24 X 7 Security,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Children's play area,builtup_area_sqft,heuristic_mapped
output_Chandigarh_plot.csv,Club House,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Gymnasium,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Swimming Pool,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Sports Facility,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Jogging Track,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Landscaped Gardens,UNKNOWN,needs_review
output_Chandigarh_plot.csv,locality_score,UNKNOWN,needs_review
output_Chandigarh_plot.csv,project_score,UNKNOWN,needs_review
output_Chandigarh_plot.csv,builder_experience,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Hospital,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Multipurpose Room,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Rain Water Harvesting,UNKNOWN,needs_review
output_Chandigarh_plot.csv,Vaastu Compliant,UNKNOWN,needs_review
output_Chandigarh_plot.csv,ATM,UNKNOWN,needs_review
