original_value,standardized_value,field,source,reason
andhra pradesh,Andhra Pradesh,state,dataset_1/up.csv,Capitalization/Known alias
assam,Assam,state,dataset_1/up.csv,Capitalization/Known alias
bihar,Bihar,state,dataset_1/up.csv,Capitalization/Known alias
chandigarh,Chandigarh,state,dataset_1/up.csv,Capitalization/Known alias
chattisgarh,Chattisgarh,state,dataset_1/up.csv,Capitalization/Known alias
delhi,Delhi,state,dataset_1/up.csv,Capitalization/Known alias
goa,Goa,state,dataset_1/up.csv,Capitalization/Known alias
haryana,Haryana,state,dataset_1/up.csv,Capitalization/Known alias
himachal_pradesh,Himachal_Pradesh,state,dataset_1/up.csv,Capitalization/Known alias
jharkhand,Jharkhand,state,dataset_1/up.csv,Capitalization/Known alias
karnataka,Karnataka,state,dataset_1/up.csv,Capitalization/Known alias
Bangalore,Bengaluru,district,dataset_1/up.csv,Capitalization/Known alias
Bangalore,Bengaluru,city,dataset_1/up.csv,Capitalization/Known alias
Bangalore,Bengaluru,locality,dataset_1/up.csv,Capitalization/Known alias
kerala,Kerala,state,dataset_1/up.csv,Capitalization/Known alias
madhya pradesh,Madhya Pradesh,state,dataset_1/up.csv,Capitalization/Known alias
orissa,Orissa,state,dataset_1/up.csv,Capitalization/Known alias
punjab,Punjab,state,dataset_1/up.csv,Capitalization/Known alias
rajasthan,Rajasthan,state,dataset_1/up.csv,Capitalization/Known alias
telangana,Telangana,state,dataset_1/up.csv,Capitalization/Known alias
uttarakhand,Uttarakhand,state,dataset_1/up.csv,Capitalization/Known alias
west bengal,West Bengal,state,dataset_1/up.csv,Capitalization/Known alias
tamil nadu,Tamil Nadu,state,dataset_1/up.csv,Capitalization/Known alias
maharastra,Maharastra,state,dataset_1/up.csv,Capitalization/Known alias
Bangalore,Bengaluru,district,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
Bangalore,Bengaluru,city,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
SBI Employees Colony,Sbi Employees Colony,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
sheetal apartments,Sheetal Apartments,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
good earth hamlet,Good Earth Hamlet,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
"Near Shri Shirdi Sai Baba Temple, Pothayadi junction.","Near Shri Shirdi Sai Baba Temple, Pothayadi Junction.",locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
GN Mills,Gn Mills,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
Mansarovar Township (Siliguri WB),Mansarovar Township (Siliguri Wb),locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
Ambari falakata,Ambari Falakata,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
KPHB,Kphb,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
ECR,Ecr,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
sector 121,Sector 121,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
RTC colony,Rtc Colony,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
Sector 9 MVP Colony,Sector 9 Mvp Colony,locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
"SBI Staff Colony, Srinivasa Nagar","Sbi Staff Colony, Srinivasa Nagar",locality,dataset_2/real_estate_dataset.csv,Capitalization/Known alias
